Seq,Date,Open,High,Low,Close,Volume,Ticker,Win_Count,Win_Loss,MA_50,MA_100,MA_200,Yin_Yang,Fluctuation,Risk_Group
469,2023-08-25,251.3699951171875,254.14999389648438,250.6300048828125,253.0500030517578,1039500,ADP,0,1,236.5442,225.7794,230.7871,Yang,0.014,high-risk
470,2023-08-28,254.89999389648438,255.77999877929688,253.33999633789062,254.38999938964844,813600,ADP,0,1,237.2126,226.1829,230.8339,Yin,0.0096,high-risk
471,2023-08-29,253.8800048828125,255.60000610351562,252.94000244140625,254.35000610351562,1139600,ADP,0,1,237.8732,226.5947,230.9037,Yang,0.0105,high-risk
472,2023-08-30,254.77999877929688,256.19000244140625,253.63999938964844,254.92999267578125,1587500,ADP,0,1,238.5662,226.9829,230.904,Yang,0.0101,high-risk
473,2023-08-31,255.85000610351562,256.42999267578125,254.0,254.61000061035156,2400100,ADP,0,1,239.2472,227.3868,230.9309,Yin,0.0096,high-risk
474,2023-09-01,254.7899932861328,256.760009765625,254.0500030517578,255.75,1491300,ADP,0,1,239.9542,227.7922,230.9592,Yang,0.0107,high-risk
475,2023-09-05,254.8800048828125,255.57000732421875,250.32000732421875,252.85000610351562,1616500,ADP,0,1,240.7346,228.1646,230.9569,Yin,0.021,high-risk
476,2023-09-06,252.5800018310547,252.6699981689453,249.89999389648438,251.0500030517578,1311000,ADP,0,1,241.4448,228.5026,230.944,Yin,0.0111,high-risk
477,2023-09-07,250.80999755859375,251.58999633789062,249.80999755859375,250.1199951171875,1021600,ADP,0,1,242.135,228.8468,230.9269,Yin,0.0071,high-risk
478,2023-09-08,251.27999877929688,251.38999938964844,248.86000061035156,249.3699951171875,1191000,ADP,0,1,242.8102,229.1589,230.8936,Yin,0.0102,high-risk
479,2023-09-11,249.27999877929688,249.88999938964844,246.88999938964844,248.1999969482422,1297200,ADP,0,1,243.445,229.4677,230.8466,Yin,0.0122,high-risk
480,2023-09-12,247.0500030517578,248.67999267578125,246.89999389648438,248.02000427246094,1303300,ADP,0,1,244.0096,229.7775,230.7769,Yang,0.0072,high-risk
701,2023-07-31,153.86000061035156,154.9499969482422,151.5500030517578,152.19000244140625,4457300,ABNB,0,1,127.9255,122.4364,113.8637,Yin,0.0224,low-risk
702,2023-08-01,149.6199951171875,150.4199981689453,148.02999877929688,148.91000366210938,4519600,ABNB,0,1,128.6663,122.6755,114.0465,Yin,0.0161,low-risk
703,2023-08-02,146.4499969482422,147.11500549316406,143.19000244140625,144.55999755859375,7026100,ABNB,0,1,129.4099,122.9227,114.2061,Yin,0.0274,low-risk
704,2023-08-03,140.94000244140625,143.10299682617188,139.75,140.8800048828125,11441200,ABNB,0,1,130.0289,123.1485,114.3647,Yin,0.024,low-risk
705,2023-08-04,140.47000122070312,145.32000732421875,137.6199951171875,140.1699981689453,8621800,ABNB,0,1,130.7073,123.3906,114.483,Yin,0.056,low-risk
706,2023-08-07,142.0,144.0,138.7899932861328,143.1999969482422,4079100,ABNB,0,1,131.4571,123.659,114.6093,Yang,0.0375,low-risk
707,2023-08-08,140.52000427246094,140.52000427246094,137.02999877929688,139.5500030517578,4685800,ABNB,0,1,132.1597,123.9187,114.7227,Yin,0.0255,low-risk
708,2023-08-09,140.13999938964844,140.5500030517578,137.3300018310547,137.8699951171875,3389700,ABNB,0,1,132.7809,124.0975,114.8271,Yin,0.0234,low-risk
709,2023-08-10,139.8699951171875,140.97000122070312,135.64999389648438,135.97000122070312,3437600,ABNB,1,0,133.3565,124.2757,114.9072,Yin,0.0392,low-risk
710,2023-08-11,134.14999389648438,134.25999450683594,131.6999969482422,133.67999267578125,4372200,ABNB,6,0,133.8347,124.4285,114.9936,Yin,0.0194,low-risk
711,2023-08-14,133.55999755859375,133.7899932861328,131.74000549316406,133.24000549316406,3373800,ABNB,9,0,134.2563,124.524,115.0676,Yin,0.0156,low-risk
712,2023-08-15,132.5,132.80999755859375,129.72999572753906,129.85000610351562,3970500,ABNB,11,0,134.4921,124.6108,115.1403,Yin,0.0237,low-risk
713,2023-08-16,129.0,130.14999389648438,128.39999389648438,128.8300018310547,3336900,ABNB,12,0,134.7549,124.6961,115.2241,Yin,0.0136,low-risk
714,2023-08-17,129.22000122070312,129.60000610351562,127.37100219726562,127.98999786376953,3908500,ABNB,12,0,134.9687,124.8068,115.288,Yin,0.0175,low-risk
715,2023-08-18,124.93000030517578,126.08000183105469,123.37999725341797,125.05999755859375,5907800,ABNB,15,0,135.1389,124.8783,115.3788,Yang,0.0219,low-risk
716,2023-08-21,126.15499877929688,126.54000091552734,123.48999786376953,124.0,4876000,ABNB,15,0,135.3089,124.9522,115.4535,Yin,0.0247,low-risk
717,2023-08-22,124.25,127.23999786376953,124.0009994506836,127.08000183105469,4946000,ABNB,20,0,135.4933,125.035,115.6169,Yang,0.0261,low-risk
718,2023-08-23,126.9000015258789,129.18499755859375,126.4000015258789,128.1300048828125,4605400,ABNB,15,0,135.5641,125.0935,115.7974,Yang,0.022,low-risk
719,2023-08-24,128.22999572753906,128.83999633789062,124.63999938964844,124.72000122070312,2980800,ABNB,13,0,135.5605,125.0967,115.9406,Yin,0.0337,low-risk
720,2023-08-25,125.04000091552734,126.5999984741211,124.19000244140625,125.79000091552734,2415200,ABNB,16,0,135.5735,125.14,116.0922,Yang,0.0194,low-risk
721,2023-08-28,127.0,127.0,124.94999694824219,126.15499877929688,2348500,ABNB,15,0,135.5396,125.2169,116.2285,Yin,0.0164,low-risk
722,2023-08-29,126.55000305175781,132.8800048828125,126.0,132.25,5622900,ABNB,15,0,135.611,125.386,116.4108,Yang,0.0546,low-risk
723,2023-08-30,130.47000122070312,132.4499969482422,129.30999755859375,130.61000061035156,4709900,ABNB,13,0,135.6942,125.5952,116.5519,Yang,0.0243,low-risk
724,2023-08-31,130.60000610351562,132.44000244140625,129.80999755859375,131.5500030517578,3860300,ABNB,13,0,135.776,125.7847,116.6618,Yang,0.0203,low-risk
725,2023-09-01,133.6999969482422,134.5,131.3300018310547,132.69000244140625,4418300,ABNB,7,0,135.8706,125.9691,116.7994,Yin,0.0241,low-risk
726,2023-09-05,141.14999389648438,144.25999450683594,139.8000030517578,142.2899932861328,21052800,ABNB,0,1,136.2218,126.2678,116.9758,Yang,0.0319,low-risk
727,2023-09-06,140.77999877929688,143.22000122070312,140.26600646972656,141.77000427246094,7114400,ABNB,0,1,136.5946,126.546,117.1625,Yang,0.0211,low-risk
728,2023-09-07,139.25,144.25,139.00999450683594,143.27000427246094,7928200,ABNB,1,0,136.9022,126.8322,117.3824,Yang,0.0377,low-risk
729,2023-09-08,143.94000244140625,146.85000610351562,143.17999267578125,145.82000732421875,9326600,ABNB,0,1,137.266,127.1287,117.6226,Yang,0.0256,low-risk
730,2023-09-11,146.22000122070312,148.25,144.86000061035156,147.3300018310547,7179000,ABNB,0,1,137.7106,127.4101,117.8807,Yang,0.0234,low-risk
731,2023-09-12,146.8800048828125,151.15499877929688,146.82000732421875,147.5,7342700,ABNB,0,1,138.0974,127.6841,118.1418,Yang,0.0295,low-risk
952,2023-07-31,384.8999938964844,384.8999938964844,376.010009765625,377.8900146484375,642700,ALGN,0,1,327.7012,324.7281,280.7233,Yin,0.0236,high-risk
953,2023-08-01,374.67999267578125,379.7300109863281,372.6099853515625,376.6199951171875,608200,ALGN,0,1,329.3652,325.1717,281.5662,Yang,0.0191,high-risk
954,2023-08-02,372.0,372.6499938964844,363.29998779296875,367.3999938964844,575700,ALGN,0,1,330.8934,325.6293,282.3416,Yin,0.0257,high-risk
955,2023-08-03,363.2200012207031,367.3999938964844,362.19000244140625,366.239990234375,412500,ALGN,0,1,332.2016,326.1638,283.1647,Yang,0.0144,high-risk
956,2023-08-04,366.989990234375,369.7099914550781,359.7200012207031,361.44000244140625,613500,ALGN,0,1,333.7794,326.6241,283.9147,Yin,0.0278,high-risk
957,2023-08-07,361.8599853515625,364.6099853515625,358.29998779296875,361.25,547900,ALGN,0,1,335.3798,327.029,284.6709,Yin,0.0176,high-risk
958,2023-08-08,357.57000732421875,359.1300048828125,353.5299987792969,357.75,536400,ALGN,0,1,336.9332,327.4248,285.4348,Yang,0.0158,high-risk
959,2023-08-09,358.7300109863281,359.8800048828125,352.6700134277344,352.79998779296875,422400,ALGN,0,1,338.2814,327.6888,286.2074,Yin,0.0204,high-risk
960,2023-08-10,354.3500061035156,357.1400146484375,345.8800048828125,347.2300109863281,387500,ALGN,0,1,339.527,327.9524,286.9052,Yin,0.0326,high-risk
961,2023-08-11,343.8999938964844,354.55999755859375,342.20001220703125,352.8800048828125,517100,ALGN,4,0,340.9314,328.3176,287.6126,Yang,0.0361,high-risk
962,2023-08-14,351.3299865722656,360.6700134277344,349.6499938964844,360.489990234375,431900,ALGN,0,1,342.1972,328.6461,288.3252,Yang,0.0315,high-risk
963,2023-08-15,359.8399963378906,364.70001220703125,356.2099914550781,361.04998779296875,487800,ALGN,0,1,343.3782,329.1335,289.0222,Yang,0.0238,high-risk
964,2023-08-16,359.57000732421875,361.57000732421875,357.7300109863281,358.5400085449219,526000,ALGN,0,1,344.446,329.6041,289.9073,Yin,0.0107,high-risk
965,2023-08-17,360.6099853515625,360.6099853515625,348.0199890136719,349.17999267578125,639900,ALGN,0,1,345.336,330.0289,290.7101,Yin,0.0362,high-risk
966,2023-08-18,345.489990234375,352.42999267578125,344.25,350.3599853515625,503800,ALGN,4,0,346.3086,330.473,291.4904,Yang,0.0238,high-risk
967,2023-08-21,351.0,351.94000244140625,342.2799987792969,342.5899963378906,590600,ALGN,0,1,347.0252,330.846,292.238,Yin,0.0282,high-risk
968,2023-08-22,342.5199890136719,353.5,342.0,351.6300048828125,534900,ALGN,5,0,347.969,331.3002,293.1008,Yang,0.0336,high-risk
969,2023-08-23,353.54998779296875,362.8699951171875,353.54998779296875,359.4800109863281,505600,ALGN,0,1,348.9328,331.7765,294.019,Yang,0.0264,high-risk
970,2023-08-24,366.7200012207031,369.5,350.5299987792969,350.7099914550781,613700,ALGN,0,1,349.5066,331.9422,294.8679,Yin,0.0541,high-risk
971,2023-08-25,351.0,357.0199890136719,348.44000244140625,356.3500061035156,421900,ALGN,0,1,350.1844,332.2322,295.7428,Yang,0.0246,high-risk
972,2023-08-28,360.489990234375,360.7300109863281,356.45001220703125,358.6600036621094,274400,ALGN,0,1,350.6938,332.5503,296.6341,Yin,0.012,high-risk
973,2023-08-29,358.1499938964844,368.0,356.9100036621094,367.6199951171875,412900,ALGN,0,1,351.4404,333.0563,297.5993,Yang,0.0311,high-risk
974,2023-08-30,371.1099853515625,374.8699951171875,369.6099853515625,370.8599853515625,579100,ALGN,0,1,352.229,333.5335,298.4712,Yin,0.0142,high-risk
975,2023-08-31,372.5,374.4599914550781,369.7099914550781,370.1400146484375,578000,ALGN,0,1,353.0176,333.9283,299.227,Yin,0.0128,high-risk
976,2023-09-01,375.1400146484375,375.67999267578125,369.010009765625,374.8999938964844,374400,ALGN,0,1,353.8276,334.2873,300.0499,Yin,0.0181,high-risk
977,2023-09-05,374.8999938964844,374.8999938964844,367.0,368.6300048828125,529800,ALGN,0,1,354.6236,334.6511,300.8284,Yin,0.0215,high-risk
978,2023-09-06,367.8599853515625,370.4100036621094,365.25,369.70001220703125,618500,ALGN,0,1,355.3884,334.9346,301.67,Yang,0.0141,high-risk
979,2023-09-07,367.7099914550781,367.7099914550781,339.7699890136719,340.92999267578125,1539500,ALGN,0,1,355.3932,334.9212,302.3998,Yin,0.0822,high-risk
980,2023-09-08,339.6099853515625,342.0,330.3599853515625,332.260009765625,702900,ALGN,0,1,355.137,334.7669,303.0933,Yin,0.0352,high-risk
981,2023-09-11,335.0,336.1099853515625,331.0,335.17999267578125,491400,ALGN,0,1,355.0048,334.6382,303.8111,Yang,0.0154,high-risk
982,2023-09-12,330.9700012207031,334.239990234375,321.6600036621094,322.2900085449219,500200,ALGN,0,1,354.3778,334.2974,304.4656,Yin,0.0391,high-risk
1203,2023-07-31,132.72999572753906,133.52999877929688,131.77999877929688,132.72000122070312,28055500,GOOGL,0,1,122.859,113.8784,104.1794,Yin,0.0133,high-risk
1204,2023-08-01,130.77999877929688,132.6300048828125,130.67999267578125,131.5500030517578,23166800,GOOGL,0,1,123.0334,114.2514,104.3494,Yang,0.0149,high-risk
1205,2023-08-02,129.4499969482422,130.08999633789062,127.55999755859375,128.3800048828125,26273300,GOOGL,0,1,123.1458,114.612,104.496,Yin,0.0198,high-risk
1206,2023-08-03,127.97000122070312,129.38999938964844,127.41999816894531,128.4499969482422,20089500,GOOGL,1,0,123.2138,114.9902,104.6554,Yang,0.0155,high-risk
1207,2023-08-04,129.27999877929688,131.50999450683594,127.91000366210938,128.11000061035156,26130000,GOOGL,0,1,123.3248,115.3602,104.7961,Yin,0.0281,high-risk
1208,2023-08-07,129.16000366210938,131.61000061035156,129.02000427246094,131.52999877929688,22746300,GOOGL,0,1,123.5374,115.7358,104.9499,Yang,0.0201,high-risk
1209,2023-08-08,130.6199951171875,131.50999450683594,129.5399932861328,131.39999389648438,23535200,GOOGL,0,1,123.6958,116.0887,105.1088,Yang,0.0152,high-risk
1210,2023-08-09,131.66000366210938,132.0399932861328,129.0,129.66000366210938,24912900,GOOGL,0,1,123.7968,116.3821,105.2572,Yin,0.0236,high-risk
1211,2023-08-10,131.32000732421875,132.0500030517578,129.4499969482422,129.69000244140625,20857800,GOOGL,0,1,123.9172,116.6628,105.4,Yin,0.0201,high-risk
1212,2023-08-11,128.66000366210938,129.92999267578125,128.1699981689453,129.55999755859375,19569200,GOOGL,1,0,124.051,116.9462,105.5352,Yang,0.0137,high-risk
1213,2023-08-14,129.38999938964844,131.3699951171875,128.9600067138672,131.3300018310547,24695600,GOOGL,0,1,124.2032,117.2103,105.6695,Yang,0.0187,high-risk
1214,2023-08-15,131.10000610351562,131.4199981689453,129.27999877929688,129.77999877929688,19770700,GOOGL,0,1,124.3054,117.4744,105.8437,Yin,0.0166,high-risk
1215,2023-08-16,128.6999969482422,130.27999877929688,127.87000274658203,128.6999969482422,25216100,GOOGL,1,0,124.3592,117.7054,106.0261,Ping,0.0188,high-risk
1216,2023-08-17,129.8000030517578,131.99000549316406,129.2899932861328,129.9199981689453,33446300,GOOGL,0,1,124.4114,117.9502,106.1943,Yang,0.0209,high-risk
1217,2023-08-18,128.50999450683594,129.25,126.37999725341797,127.45999908447266,30491300,GOOGL,1,0,124.5106,118.2002,106.359,Yin,0.0227,high-risk
1218,2023-08-21,127.18000030517578,128.72999572753906,126.55999755859375,128.3699951171875,25248700,GOOGL,8,0,124.6352,118.4736,106.5485,Yang,0.0171,high-risk
1219,2023-08-22,128.50999450683594,130.27999877929688,128.32000732421875,129.0800018310547,22067500,GOOGL,1,0,124.7722,118.7505,106.7591,Yang,0.0153,high-risk
1220,2023-08-23,130.17999267578125,133.41000366210938,129.8699951171875,132.3699951171875,27819700,GOOGL,0,1,124.9468,119.0653,107.0038,Yang,0.0273,high-risk
1221,2023-08-24,133.9499969482422,134.25,129.57000732421875,129.77999877929688,28500700,GOOGL,0,1,125.0658,119.3258,107.2198,Yin,0.0361,high-risk
1222,2023-08-25,129.5399932861328,130.75999450683594,127.25,129.8800048828125,26762900,GOOGL,0,1,125.19,119.581,107.4267,Yang,0.0276,high-risk
1223,2023-08-28,131.30999755859375,132.5399932861328,130.13999938964844,131.00999450683594,20543300,GOOGL,0,1,125.3084,119.8439,107.6373,Yin,0.0184,high-risk
1224,2023-08-29,132.24000549316406,136.57000732421875,132.24000549316406,134.57000732421875,43075600,GOOGL,0,1,125.5292,120.1449,107.8735,Yang,0.0327,high-risk
1225,2023-08-30,134.77999877929688,136.27999877929688,134.07000732421875,135.8800048828125,28315800,GOOGL,0,1,125.7848,120.4195,108.0832,Yang,0.0165,high-risk
1226,2023-08-31,136.00999450683594,138.0,135.7899932861328,136.1699981689453,30053800,GOOGL,0,1,126.0972,120.7168,108.282,Yang,0.0163,high-risk
1227,2023-09-01,137.4600067138672,137.4600067138672,134.85000610351562,135.66000366210938,21524600,GOOGL,0,1,126.3474,121.0199,108.4818,Yin,0.0194,high-risk
1228,2023-09-05,135.44000244140625,136.4199981689453,134.5800018310547,135.77000427246094,19403100,GOOGL,0,1,126.616,121.3312,108.6685,Yang,0.0137,high-risk
1229,2023-09-06,136.02000427246094,136.52999877929688,133.6699981689453,134.4600067138672,18684500,GOOGL,0,1,126.9384,121.6015,108.8465,Yin,0.0214,high-risk
1230,2023-09-07,133.58999633789062,135.5800018310547,132.9499969482422,135.25999450683594,18844300,GOOGL,0,1,127.277,121.8654,109.031,Yang,0.0198,high-risk
1231,2023-09-08,134.91000366210938,136.66000366210938,134.85000610351562,136.3800048828125,23558300,GOOGL,0,1,127.601,122.1695,109.2258,Yang,0.0134,high-risk
1232,2023-09-11,136.5399932861328,137.47999572753906,135.7899932861328,136.9199981689453,20763400,GOOGL,0,1,127.9574,122.4937,109.4324,Yang,0.0124,high-risk
1233,2023-09-12,136.25999450683594,136.8699951171875,135.19000244140625,135.33999633789062,18405500,GOOGL,0,1,128.2702,122.8053,109.6238,Yin,0.0124,high-risk
1242,2023-09-25,129.8300018310547,131.1699981689453,128.9600067138672,131.11000061035156,20094600,GOOGL,1,0,130.8758,125.4285,111.2636,Yang,0.0171,high-risk
1243,2023-09-26,129.77000427246094,130.36000061035156,127.22000122070312,128.57000732421875,25718700,GOOGL,1,0,130.9542,125.6601,111.4318,Yin,0.0247,high-risk
1244,2023-09-27,128.57000732421875,130.89999389648438,128.57000732421875,130.5399932861328,22746500,GOOGL,3,0,131.0898,125.9186,111.6159,Yang,0.0181,high-risk
1245,2023-09-28,129.83999633789062,133.3000030517578,129.7899932861328,132.30999755859375,22513100,GOOGL,1,0,131.2954,126.186,111.8133,Yang,0.027,high-risk
1454,2023-07-31,133.00999450683594,133.8300018310547,132.1300048828125,133.11000061035156,18381900,GOOG,0,1,123.4844,114.4815,104.7222,Yang,0.0129,high-risk
1455,2023-08-01,130.85499572753906,132.9199981689453,130.75,131.88999938964844,22154300,GOOG,0,1,123.6518,114.8539,104.8901,Yang,0.0166,high-risk
1456,2023-08-02,129.83999633789062,130.4199981689453,127.8499984741211,128.63999938964844,22705800,GOOG,0,1,123.7596,115.2137,105.0348,Yin,0.0201,high-risk
1457,2023-08-03,128.3699951171875,129.77000427246094,127.7750015258789,128.77000427246094,15018100,GOOG,1,0,123.8176,115.5913,105.1927,Yang,0.0156,high-risk
1458,2023-08-04,129.60000610351562,131.92999267578125,128.31500244140625,128.5399932861328,20509500,GOOG,0,1,123.9226,115.96,105.3315,Yin,0.0282,high-risk
1459,2023-08-07,129.50999450683594,132.05999755859375,129.42999267578125,131.94000244140625,17621000,GOOG,1,0,124.1286,116.3369,105.4843,Yang,0.0203,high-risk
